Energy(keV) dN/dE(keV^-1)
0.0 0.0
2.80056011202 7.50435347391e-08
5.60112022404 2.98734335053e-07
8.40168033607 6.68921778211e-07
11.2022404481 1.18346734197e-06
14.0028005601 1.84024459153e-06
16.8033606721 2.63713916641e-06
19.6039207842 3.5720487671e-06
22.4044808962 4.64288314168e-06
25.2050410082 5.8475640722e-06
28.0056011202 7.18402536101e-06
30.8061612322 8.65021281679e-06
33.6067213443 1.02440842406e-05
36.4072814563 1.19636094115e-05
39.2078415683 1.38067700722e-05
42.0084016803 1.57715599147e-05
44.8089617924 1.78559845648e-05
47.6095219044 2.00580615677e-05
50.4100820164 2.23758203727e-05
53.2106421284 2.48073023171e-05
56.0112022404 2.73505606111e-05
58.8117623525 3.00036603213e-05
61.6123224645 3.27646783547e-05
64.4128825765 3.56317034417e-05
67.2134426885 3.86028361196e-05
70.0140028006 4.1676188715e-05
72.8145629126 4.4849885326e-05
75.6151230246 4.81220618045e-05
78.4156831366 5.14908657377e-05
81.2162432486 5.49544564289e-05
84.0168033607 5.85110048784e-05
86.8173634727 6.21586937637e-05
89.6179235847 6.58957174188e-05
92.4184836967 6.97202818136e-05
95.2190438088 7.36306045322e-05
98.0196039208 7.76249147506e-05
100.820164033 8.17014532138e-05
103.620724145 8.58584722125e-05
106.421284257 9.00942355582e-05
109.221844369 9.44070185579e-05
112.022404481 9.87951079883e-05
114.822964593 0.000103256802068
117.623524705 0.00010779041043
120.424084817 0.00011239425409
123.224644929 0.000116602246296
126.025205041 0.000121290705035
128.825765153 0.000126041566704
131.626325265 0.000130853144728
134.426885377 0.000135723765124
137.227445489 0.000140651766464
140.028005601 0.000145635499821
142.828565713 0.000150673328716
145.629125825 0.000155763629069
148.429685937 0.00016090478914
151.230246049 0.000166095209469
154.030806161 0.000171333302811
156.831366273 0.000176617494073
159.631926385 0.000181946220236
162.432486497 0.000187317930286
165.233046609 0.000192731085126
168.033606721 0.00019818415749
170.834166833 0.000203675631848
173.634726945 0.000209204004301
176.435287057 0.000214767782474
179.235847169 0.000220365485384
182.036407281 0.000225995643313
184.836967393 0.000231656797655
187.637527506 0.000237347500752
190.438087618 0.000243066315705
193.23864773 0.000248811816164
196.039207842 0.000254582586095
198.839767954 0.000260377219497
201.640328066 0.000266194320091
204.440888178 0.000272032500939
207.24144829 0.000277890384006
210.042008402 0.000283766599612
212.842568514 0.000289659785774
215.643128626 0.000295568587366
218.443688738 0.000301491655043
221.24424885 0.000307427643811
224.044808962 0.000313375211067
226.845369074 0.000319333013817
229.645929186 0.000325299704504
232.446489298 0.000331273924454
235.24704941 0.00033725429277
238.047609522 0.000343239385844
240.848169634 0.00034922769479
243.648729746 0.000355217520613
246.449289858 0.000361206632582
249.24984997 0.000367190157521
252.050410082 0.000371425067766
254.850970194 0.000377403280894
257.651530306 0.000383378503649
260.452090418 0.000389349482623
263.25265053 0.000395314958004
266.053210642 0.000401273660636
268.853770754 0.000407224308478
271.654330866 0.000413165602258
274.454890978 0.00041909622012
277.25545109 0.000425014810949
280.056011202 0.000430919985937
282.856571314 0.000436810307807
285.657131426 0.000442684276831
288.457691538 0.000448540312392
291.25825165 0.000454376728206
294.058811762 0.000460191698338
296.859371874 0.000465983209388
299.659931986 0.00047174899131
302.460492098 0.00047748641381
305.26105221 0.000483192324726
308.061612322 0.00048886278478
310.862172434 0.000494492603459
313.662732547 0.000500074455773
316.463292659 0.00050559699513
319.263852771 0.000511040065449
322.064412883 0.000516358436682
324.864972995 0.000521368765947
327.665533107 0.000452536215607
330.466093219 0.000457838785506
333.266653331 0.00046313129012
336.067213443 0.00046841305458
338.867773555 0.000473683410207
341.668333667 0.000478941694504
344.468893779 0.000484187251147
347.269453891 0.000489419429971
350.070014003 0.000494637586967
352.870574115 0.000499841084267
355.671134227 0.000505029290133
358.471694339 0.000510201578952
